Category:,Brief Description:,Extended Description:,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
Poly(aryl ethers) and Poly(aryl ether ketones),CPAEK-2,,,7.5,0.51,0.0729,2.14,0.069,,,,,,,,,,,Camacho-Zuniga 2006,http://www.sciencedirect.com/science/article/pii/S0376738806004625
Poly(aryl ethers) and Poly(aryl ether ketones),CPAEK-3,,,5.3,0.27,0.031,0.91,0.0276,,,,,,,,,,,Camacho-Zuniga 2006,http://www.sciencedirect.com/science/article/pii/S0376738806004625
Poly(aryl ethers) and Poly(aryl ether ketones),3H-PEEK poly(aryl ether ketone),,,3.8,0.2,0.029,1,0.024,,,,,,,,,,,Liu 2005,http://www.sciencedirect.com/science/article/pii/S0032386105014084
Poly(aryl ethers) and Poly(aryl ether ketones),6H-PEEK poly(aryl ether ketone),,,4.6,0.33,0.053,1.6,0.05,,,,,,,,,,,Liu 2005,http://www.sciencedirect.com/science/article/pii/S0032386105014084
Poly(aryl ethers) and Poly(aryl ether ketones),3F-PEEK poly(aryl ether ketone),,,5.1,0.38,0.051,1.5,0.041,,,,,,,,,,,Liu 2005,http://www.sciencedirect.com/science/article/pii/S0032386105014084
Poly(aryl ethers) and Poly(aryl ether ketones),6F-PEEK poly(aryl ether ketone),,,21,3.3,0.54,8.7,0.38,,,,,,,,,,,Liu 2005,http://www.sciencedirect.com/science/article/pii/S0032386105014084
Poly(aryl ethers) and Poly(aryl ether ketones),3H-PEN poly(aryl ether),,,6.8,0.45,0.07,1.9,0.05,,,,,,,,,,,Liu 2005,http://www.sciencedirect.com/science/article/pii/S0032386105014084
Poly(aryl ethers) and Poly(aryl ether ketones),6H-PEN poly(aryl ether),,,9.6,0.94,0.17,3.5,0.06,,,,,,,,,,,Liu 2005,http://www.sciencedirect.com/science/article/pii/S0032386105014084
Poly(aryl ethers) and Poly(aryl ether ketones),3F-PEN poly(aryl ether),,,9.3,0.87,0.15,3.7,0.09,,,,,,,,,,,Liu 2005,http://www.sciencedirect.com/science/article/pii/S0032386105014084
Poly(aryl ethers) and Poly(aryl ether ketones),6F-PEN poly(aryl ether),,,35,6.6,1.12,19,0.83,,,,,,,,,,,Liu 2005,http://www.sciencedirect.com/science/article/pii/S0032386105014084
Poly(aryl ethers) and Poly(aryl ether ketones),,Poly(phthalazinone ether ketone),,,0.75,0.11,,0.042,,,,,,,,,,,Jian 1999,http://dx.doi.org/10.1002/(SICI)1097-4628(19990404)71:14%3C2385::AID-APP10%3E3.0.CO;2-S
Poly(aryl ethers) and Poly(aryl ether ketones),,Polyhydroxyether of Bisphenol A,,,0.09,0.019,0.5,0.02,,,,,,,,,,,Barbari 1988,http://dx.doi.org/10.1002/polb.1988.090260401
Poly(aryl ethers) and Poly(aryl ether ketones),PPO,Poly(phenylene oxide),,,,,,100,140,32,116,6.5,,,,,,,Ilinitsch 1992,http://dx.doi.org/10.1016/0376-7388(92)80085-X
Poly(aryl ethers) and Poly(aryl ether ketones),PPO mix,"97.5% poly(1,6-dimethyl-1,4-phenyleneoxide) and 2.5% poly(2,6-diphenyl-1,4-pheneyleneoxide)",,,,,,120,58,10,41,16,,,,,,,Ilinitsch 1992,http://dx.doi.org/10.1016/0376-7388(92)80085-X
Poly(aryl ethers) and Poly(aryl ether ketones),PPO mix,"75% poly(1,6-dimethyl-1,4-phenyleneoxide) and 25% poly(2,6-diphenyl-1,4-pheneyleneoxide)",,,,,,70,29,6,22,3.2,,,,,,,Ilinitsch 1992,http://dx.doi.org/10.1016/0376-7388(92)80085-X
Poly(aryl ethers) and Poly(aryl ether ketones),PPO,"Poly(2,6-dimethyl-1,4-phenylene-oxide)",,,,,,,,,9,2.1,,,,,,,Bai 1998,http://dx.doi.org/10.1016/S0376-7388(98)00140-9
Poly(aryl ethers) and Poly(aryl ether ketones),PPO+Ru,"Poly(2,6-dimethyl-1,4-phenylene-oxide) doped with 0.05wt.% Ru",,,,,,,,,14,2,,,,,,,Bai 1998,http://dx.doi.org/10.1016/S0376-7388(98)00140-9
Poly(aryl ethers) and Poly(aryl ether ketones),PPO+Pd,"Poly(2,6-dimethyl-1,4-phenylene-oxide) doped with 0.63wt.% Pd",,,,,,,,,18.4,2.9,,,,,,,Bai 1998,http://dx.doi.org/10.1016/S0376-7388(98)00140-9
Poly(aryl ethers) and Poly(aryl ether ketones),PPO+Ag,"Poly(2,6-dimethyl-1,4-phenylene-oxide) doped with 1wt.% Ag",,,,,,,,,8,1.4,,,,,,,Bai 1998,http://dx.doi.org/10.1016/S0376-7388(98)00140-9
Poly(aryl ethers) and Poly(aryl ether ketones),PPO+Ir,"Poly(2,6-dimethyl-1,4-phenylene-oxide) doped with 0.7wt.% Ir",,,,,,,,,10,2,,,,,,,Bai 1998,http://dx.doi.org/10.1016/S0376-7388(98)00140-9
Poly(aryl ethers) and Poly(aryl ether ketones),PPO,Poly(phenylene oxide),,,,,,,,,9,2.1,,,,,,,Semenova 2004,http://dx.doi.org/10.1016/j.memsci.2003.11.022
Polyamides and poly(amide-imides),,"Nylon 6,6",,,0.034,,0.17,,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),,Nylon 6,,,0.038,,0.16,,,,,,,,,,,,Allen 1977,http://www.sciencedirect.com/science/article/pii/S037673880083241X
Polyamides and poly(amide-imides),,Nylon 11,2.8,2.63,,,1,,,,,,,,,,,,Ash p427 circa 1970,
Polyamides and poly(amide-imides),mPDA-TMAC poly(amide-imide),,2.87,,0.0625,0.0063,0.203,,,,,,,,,,,,Langsam 2000,http://dx.doi.org/10.1002/(SICI)1099-0518(20000601)38:11%3C1951::AID-POLA40%3E3.0.CO;2-C
Polyamides and poly(amide-imides),TrMPD-TMAC poly(amide-imide),,36.7,,3.53,0.499,17.9,0.349,,,,,,,,,,,Langsam 2000,http://dx.doi.org/10.1002/(SICI)1099-0518(20000601)38:11%3C1951::AID-POLA40%3E3.0.CO;2-C
Polyamides and poly(amide-imides),DETDA-TMAC poly(amide-imide),,33.8,,5.7,1.12,32.9,,,,,,,,,,,,Langsam 2000,http://dx.doi.org/10.1002/(SICI)1099-0518(20000601)38:11%3C1951::AID-POLA40%3E3.0.CO;2-C
Polyamides and poly(amide-imides),Poly(etherimide) Ultem 1000 (comparison),,,,0.277,0.0323,,,,,,,,,,,,,Langsam 2000,http://dx.doi.org/10.1002/(SICI)1099-0518(20000601)38:11%3C1951::AID-POLA40%3E3.0.CO;2-C
Polyamides and poly(amide-imides),6FDA-8FdDA poly(amide-imide),,,,1.49,0.27,5.72,0.12,,,,,,,,,,,Xu 1997,http://www.sciencedirect.com/science/article/pii/S0032386196005496
Polyamides and poly(amide-imides),6FDA-8FmDA poly(amide-imide),,,,0.49,0.08,1.66,0.04,,,,,,,,,,,Xu 1997,http://www.sciencedirect.com/science/article/pii/S0032386196005496
Polyamides and poly(amide-imides),6FDA-12FpDA poly(amide-imide),,,,1.9,0.39,8.91,0.17,,,,,,,,,,,Xu 1997,http://www.sciencedirect.com/science/article/pii/S0032386196005496
Polyamides and poly(amide-imides),6FDA-12FmDA poly(amide-imide),,,,1,0.2,3.64,0.09,,,,,,,,,,,Xu 1997,http://www.sciencedirect.com/science/article/pii/S0032386196005496
Polyamides and poly(amide-imides),InDCA-mPD aromatic polyamide,,17.7,,1.16,0.15,5.2,0.09,,,,,,,,,,,Ding 2002,http://www.sciencedirect.com/science/article/pii/S0032386102002768
Polyamides and poly(amide-imides),InDCA-pPD aromatic polyamide,,18.3,,1.67,0.25,8.9,0.18,,,,,,,,,,,Ding 2002,http://www.sciencedirect.com/science/article/pii/S0032386102002768
Polyamides and poly(amide-imides),InDCA-ODA aromatic polyamide,,19.2,,1.67,0.24,8.4,0.21,,,,,,,,,,,Ding 2002,http://www.sciencedirect.com/science/article/pii/S0032386102002768
Polyamides and poly(amide-imides),InDCA-BAPH aromatic polyamide,,16.9,,1.91,0.31,9.6,0.33,,,,,,,,,,,Ding 2002,http://www.sciencedirect.com/science/article/pii/S0032386102002768
Polyamides and poly(amide-imides),"InDCA-1,5-NDA aromatic polyamide",,15.8,,0.94,0.12,4.1,0.09,,,,,,,,,,,Ding 2002,http://www.sciencedirect.com/science/article/pii/S0032386102002768
Polyamides and poly(amide-imides),InDCA-mDDS aromatic polyamide,,11.9,,0.53,0.06,2.2,0.04,,,,,,,,,,,Ding 2002,http://www.sciencedirect.com/science/article/pii/S0032386102002768
Polyamides and poly(amide-imides),InDCA-6FpDA aromatic polyamide,,65.8,,7.35,1.36,35.3,0.91,,,,,,,,,,,Ding 2002,http://www.sciencedirect.com/science/article/pii/S0032386102002768
Polyamides and poly(amide-imides),InDCA-TFMB aromatic polyamide,,63.2,,7.23,1.3,31.2,0.9,,,,,,,,,,,Ding 2002,http://www.sciencedirect.com/science/article/pii/S0032386102002768
Polyamides and poly(amide-imides),APA1 aromatic polyamide,,31,,3.11,0.46,13,0.47,,,,,,,,,,,Espeso 2006,http://www.sciencedirect.com/science/article/pii/S0376738806001475
Polyamides and poly(amide-imides),APA2 aromatic polyamide,,36,,4.5,0.81,21,0.9,,,,,,,,,,,Espeso 2006,http://www.sciencedirect.com/science/article/pii/S0376738806001475
Polyamides and poly(amide-imides),APA3 aromatic polyamide,,60,,9.38,1.73,43,2.24,,,,,,,,,,,Espeso 2006,http://www.sciencedirect.com/science/article/pii/S0376738806001475
Polyamides and poly(amide-imides),APA4 aromatic polyamide,,49,,6.47,1.18,27,1.21,,,,,,,,,,,Espeso 2006,http://www.sciencedirect.com/science/article/pii/S0376738806001475
Polyamides and poly(amide-imides),APA5 aromatic polyamide,,60,,7.88,1.51,36,1.24,,,,,,,,,,,Espeso 2006,http://www.sciencedirect.com/science/article/pii/S0376738806001475
Polyamides and poly(amide-imides),,Trogamid TTM polyamide,4,,0.092,0.016,0.33,0.018,,,,,,,,,,,Espeso 2006,http://www.sciencedirect.com/science/article/pii/S0376738806001475
Polyamides and poly(amide-imides),I-6FpDA aromatic polyamid,,35,29,2.4,0.42,9,0.2,,,,,,,,,,,Singh 1999,http://www.sciencedirect.com/science/article/pii/S0032386198008003
Polyamides and poly(amide-imides),6FDC-mPD aromatic polyamide,,31,23,2.2,0.4,8.4,0.24,,,,,,,,,,,Singh 1999,http://www.sciencedirect.com/science/article/pii/S0032386198008003
Polyamides and poly(amide-imides),Piso-6FpDA aromatic polyamide,,48,42,5.5,1.2,21,0.78,,,,,,,,,,,Singh 1999,http://www.sciencedirect.com/science/article/pii/S0032386198008003
Polyamides and poly(amide-imides),I-pDDS aromatic polyamide,,5.2,4.3,0.19,0.031,0.78,0.014,,,,,,,,,,,Singh 1999,http://www.sciencedirect.com/science/article/pii/S0032386198008003
Polyamides and poly(amide-imides),Piso-pDDS aromatic polyamide,,10,7.6,0.75,0.13,3.2,0.11,,,,,,,,,,,Singh 1999,http://www.sciencedirect.com/science/article/pii/S0032386198008003
Polyamides and poly(amide-imides),DBF/ISO aromatic polyamide,,4.22,,0.069,,0.32,,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),IDT82 aromatic polyamide,,5.3,,0.1,,0.51,,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),IDT55 aromatic polyamide,,8.77,,0.308,0.05,1.16,,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),IDT28 aromatic polyamide,,14.81,,0.76,0.13,3.2,,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),DBF/TERT aromatic polyamide,,19.26,,1.16,0.23,4.96,,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),HFA/ISO aromatic polyamide,,34.5,,1.68,0.25,6.5,0.13,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),IHT82 aromatic polyamide,,38.9,,2.25,0.35,9.13,0.17,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),IHT55 aromatic polyamide,,46.7,,2.86,0.44,10.21,0.26,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),IHT28 aromatic polyamide,,65.3,,5.32,0.9,17.87,0.57,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),HFA/TERT aromatic polyamide,,66.4,,5.88,1.06,22.05,0.72,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),6FpDA-I,,34.5,,1.68,0.25,6.5,0.13,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),6FpDA-TBI,,66.4,,5.88,1.06,22.1,0.72,,,,,,,,,,,Carrera-Figueiras 2007,http://dx.doi.org/10.1002/polb.21208
Polyamides and poly(amide-imides),,Poly(fluorenylidene terephthaloyl amide),24.7,,3,0.517,15.3,0.548,,,,,,,,,,,Lopez-Nava 2002,http://dx.doi.org/10.1007/s00289-002-0094-z
Polyamides and poly(amide-imides),,Poly(fluorenylidene isophthaloyl amide),15.8,,1.2,0.197,5.3,0.128,,,,,,,,,,,Lopez-Nava 2002,http://dx.doi.org/10.1007/s00289-002-0094-z
Polyamides and poly(amide-imides),,Poly(fluorenylidene t-butylisophthaloyl amide),53.4,,8,1.404,37.7,1.545,,,,,,,,,,,Lopez-Nava 2002,http://dx.doi.org/10.1007/s00289-002-0094-z
Polyamides and poly(amide-imides),TMAC-MDA poly(amide-imide),,,,0.065,0.017,0.264,0.01,,,,,,,,,,,Kresse 1999,http://dx.doi.org/10.1002/(SICI)1099-0488(19990815)37:16%3C2183::AID-POLB20%3E3.0.CO;2-5
Polyamides and poly(amide-imides),TMAC-HDPDA poly(amide-imide),,,,0.185,0.02,0.749,0.015,,,,,,,,,,,Kresse 1999,http://dx.doi.org/10.1002/(SICI)1099-0488(19990815)37:16%3C2183::AID-POLB20%3E3.0.CO;2-5
Polyamides and poly(amide-imides),TMAC-TFA poly(amide-imide),,,,0.284,0.071,1.273,0.013,,,,,,,,,,,Kresse 1999,http://dx.doi.org/10.1002/(SICI)1099-0488(19990815)37:16%3C2183::AID-POLB20%3E3.0.CO;2-5
Polyamides and poly(amide-imides),TMAC-FDA poly(amide-imide),,,,0.347,0.064,1.539,0.017,,,,,,,,,,,Kresse 1999,http://dx.doi.org/10.1002/(SICI)1099-0488(19990815)37:16%3C2183::AID-POLB20%3E3.0.CO;2-5
Polyamides and poly(amide-imides),,Torlon 4000T,5.53,4.44,0.212,0.037,0.83,0.03,,,,,,,,,,,Hosseini 2009,http://www.sciencedirect.com/science/article/pii/S0376738808010314
Polyarylates,PA,polarylate,14,,1.7,0.33,7.5,0.4,,,,,,,,,,,Barbari 1989,http://www.sciencedirect.com/science/article/pii/S0376738800823662
Polyarylates,TMBPA-tBI PAR,,79,104,12,2.5,53,2.79,,,,,,,,,,,Wright 1997,http://www.sciencedirect.com/science/article/pii/S0376738896002153
Polyarylates,Bis A PAR (I/T= 1.0),Bis A polyarylate (I/T= 1.0),6.5,,0.52,0.0912,2.3,0.105,,,,,,,,,,,Guzman-Gutierrez 2007,http://www.sciencedirect.com/science/article/pii/S0376738807005832
Polyarylates,TMBisA PAR (I/T = 1.0),TMBisA Polyarylate (I/T = 1.0),40,,3.6,0.59,14,0.583,,,,,,,,,,,Guzman-Gutierrez 2007,http://www.sciencedirect.com/science/article/pii/S0376738807005832
Polyarylates,HFBis A PAR (I/T = 1.0),HFBis A polyarylate (I/T = 1.0),51,,6,1.304,27,1.125,,,,,,,,,,,Guzman-Gutierrez 2007,http://www.sciencedirect.com/science/article/pii/S0376738807005832
Polyarylates,TMHFBis A PAR (I/T = 1.0),TMHFBis A polyarylate (I/T = 1.0),182,,16,2.81,55,1.72,,,,,,,,,,,Guzman-Gutierrez 2007,http://www.sciencedirect.com/science/article/pii/S0376738807005832
Polyarylates,Bis A-I PAR,,15.1,,1.45,0.272,5.6,0.268,,,,,,,,,,,Pessan 1993,http://dx.doi.org/10.1002/polb.1993.090310919
Polyarylates,Bis A-T PAR,,16.8,,2.54,0.63,11.6,0.678,,,,,,,,,,,Pessan 1993,http://dx.doi.org/10.1002/polb.1993.090310919
Polyarylates,Polyarylate PT1,,,10.4,1.6,0.282,6.91,0.365,,,,,,,,,,,Zhang 1993,http://dx.doi.org/10.1021/ma00078a010
Polyarylates,Polyarylate PT2,,,37.1,5.54,1.37,22.2,1.39,,,,,,,,,,,Zhang 1993,http://dx.doi.org/10.1021/ma00078a010
Polyarylates,Bis A-T PAR,,14,,1.88,0.37,8,0.4,,,,,,,,,,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868
Polyarylates,DMBis A-T PAR,,18,,1.12,0.23,5.8,0.17,,,,,,,,,,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868
Polyarylates,TMBis A-T PAR,,50,,7.3,1.43,4.7,1.32,,,,,,,,,,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868
Polyarylates,Ppha-T PAR,,16.2,,2.15,0.41,11.7,0.47,,,,,,,,,,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868
Polyarylates,o-Cp-T PAR,,13.3,,1.04,0.15,5,0.18,,,,,,,,,,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868
Polyarylates,Bis A-I PAR,,8.8,,0.49,0.09,2.1,,,,,,,,,,,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868
Polyarylates,DMBis AI PAR,,8.8,,0.46,0.076,2.5,0.044,,,,,,,,,,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868
Polyarylates,TMBis A-I PAR,,37,,3.5,0.68,24,0.53,,,,,,,,,,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868
Polyarylates,Bis A-I/T (1/1) PAR,Bis A-I/T (1/1) polyarylate,160,,1.4,0.33,7.3,0.4,,,,,,,,,,,Houde 1995,http://www.sciencedirect.com/science/article/pii/0376738895003246
Polyarylates,Bis MEK-I/T (1/1) PAR,Bis MEK-I/T (1/1) polyarylate,12.8,,1.6,0.24,4.6,0.57,,,,,,,,,,,Houde 1995,http://www.sciencedirect.com/science/article/pii/0376738895003246
Polyarylates,Bis MIBK-I/T (1/1) PAR,Bis MIBK-I/T (1/1) polyarylate,29,,3.5,0.57,15.9,1.71,,,,,,,,,,,Houde 1995,http://www.sciencedirect.com/science/article/pii/0376738895003246
Polyarylates,Bis Aceto-I/T (1/1) PAR,Bis Aceto-I/T (1/1) polyarylate,15.9,,2.1,0.32,10.8,0.74,,,,,,,,,,,Houde 1995,http://www.sciencedirect.com/science/article/pii/0376738895003246
Polyarylates,Bis Lev-I/T (1/1) PAR,Bis Lev-I/T (1/1) polyarylate,9.5,,0.76,0.17,3.5,0.31,,,,,,,,,,,Houde 1995,http://www.sciencedirect.com/science/article/pii/0376738895003246
Polyarylates,Bis A-I PAR,Bis A-I polyarylate,,,1.45,0.274,7.1,0.309,,,,,,,,,,,Villegas-Coss 2006,http://dx.doi.org/10.1002/polb.20690
Polyarylates,"Bis A/1,1 bi 2-naphthol (1/1)-I PAR","Bis A/1,1 bi 2-naphthol (1/1)-I polyarylate",,,0.93,0.139,4,0.148,,,,,,,,,,,Villegas-Coss 2006,http://dx.doi.org/10.1002/polb.20690
Polyarylates,Bis A-T PAR,Bis A-T polyarylate,,,2.54,0.635,12.5,0.735,,,,,,,,,,,Villegas-Coss 2006,http://dx.doi.org/10.1002/polb.20690
Polyarylates,"Bis A/1,1 bi 2-naphthol (1/1)-T PAR","Bis A/1,1 bi 2-naphthol (1/1)-T polyarylate",,,2.04,0.364,9.9,0.471,,,,,,,,,,,Villegas-Coss 2006,http://dx.doi.org/10.1002/polb.20690
Polyarylates,Bis A-I PAR,,13.4,,1.33,0.241,5.4,0.233,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717
Polyarylates,Bis A-tBI PAR,,34.3,,5.95,1.197,24.2,1.43,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717
Polyarylates,HFBis A-I PAR,,47.8,,5.23,1.1,19.1,0.799,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717
Polyarylates,HFBis A-tBI PAR,,91.1,,15.7,3.88,56.9,3.47,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717
Polyarylates,Ppha-I PAR,,14.7,,1.53,0.276,6.74,0.25,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717
Polyarylates,Ppha-tBI PAR,,35.6,,5.6,1.09,23.8,1.16,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717
Polyarylates,FBP-I PAR,,22.3,,3.03,0.57,12.4,0.617,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717
Polyarylates,FBP-tBI PAR,,45.9,,9.55,1.93,36.8,2.374,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717
Polyarylates,TMBPA-tBI polyarylate,,,,13.1,2.68,46,2.86,,,,,,,,,,,McCaig 1999,http://www.sciencedirect.com/science/article/pii/S0032386198005709
Polyarylates,DBDMBPA-tBI polyarylate,,,,6.27,1.06,22.7,1.06,,,,,,,,,,,McCaig 1999,http://www.sciencedirect.com/science/article/pii/S0032386198005709
Polyarylates,TBBPA-tBI polyarylate,,,,5.4,0.85,19.7,0.838,,,,,,,,,,,McCaig 1999,http://www.sciencedirect.com/science/article/pii/S0032386198005709
Polyarylates,TMFBP-tBI polyarylate,,,,28.1,6,110,6.55,,,,,,,,,,,McCaig 1999,http://www.sciencedirect.com/science/article/pii/S0032386198005709
Polyarylates,DMDBFBP-tBI polyarylate,,,,15.4,2.78,71,3.3,,,,,,,,,,,McCaig 1999,http://www.sciencedirect.com/science/article/pii/S0032386198005709
Polyarylates,TBBPA-I PAR,,16.3,18.3,1.3,0.18,4.93,0.142,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905
Polyarylates,TBBPA-tBI PAR,,41.6,54,5.63,0.901,21.5,0.853,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905
Polyarylates,TBHFBPA-I PAR,,66.3,65,6.75,1.07,35.6,0.597,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905
Polyarylates,TBHFBPA-tBI PAR,,124,149,22.1,4.47,85.1,3.36,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905
Polyarylates,TBPhTh-I PAR,,23.4,27.9,1.96,0.29,8.34,0.206,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905
Polyarylates,TBPhTh-tBI PAR,,61.3,67.5,7.41,1.28,30.6,1.09,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905
Polyarylates,TBFBP-I PAR,,38.5,53.5,4.84,0.705,20.4,0.567,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905
Polyarylates,TBFBP-tBI PAR,,94.4,141,16.8,2.94,69.5,2.77,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905
Polyarylates,DMBPA-I polyarylate,,9.5,7.79,0.4,0.0628,1.24,0.0459,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043
Polyarylates,DMBPA-tBI polyarylate,,26,27.1,2.37,0.393,8,0.4,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043
Polyarylates,TMBPA-I polyarylate,,34,38.6,3.26,0.579,12,0.472,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043
Polyarylates,TMBPA-tBI polyarylate,,72,96,12.2,2.52,44.6,2.571,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043
Polyarylates,DiisoBPA-I polyarylate,,19.5,18.9,1.64,0.273,5.16,0.305,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043
Polyarylates,DiisoBPA-tBI polyarylate,,37.3,41.4,5.03,1.079,16.1,1.43,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043
Polyarylates,DBDMBPA-I polyarylate,,22.1,23.3,1.52,0.219,5.45,0.151,,,,,,,,,,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043
Polyarylates,Polyarylate A,,,10.4,1.6,0.282,6.91,0.365,,,,,,,,,,,Zhang 1993,http://dx.doi.org/10.1021/ma00078a010
Polyarylates,Polyarylate B,,,27.1,5.54,1.37,22.2,1.39,,,,,,,,,,,Zhang 1993,http://dx.doi.org/10.1021/ma00078a010
Polyarylates,HFBis A-tBI polyarylate,,100,,16,3.72,69.3,,,,,,,,,,,,Loria-Bastarrachea 2007,http://dx.doi.org/10.1002/app.25187
Polyarylates,HFBis A-IA polyarylate,,32.7,,3.13,0.65,12.5,,,,,,,,,,,,Loria-Bastarrachea 2007,http://dx.doi.org/10.1002/app.25187
Polyarylates,SBI-T polyarylate,,68,,13.4,2.98,55.7,4.22,,,,,,,,,,,Pessan 1995,http://dx.doi.org/10.1002/polb.1995.090330317
Polyarylates,SBI-I polyarylate,,39.1,,5.31,1,18.9,1.14,,,,,,,,,,,Pessan 1995,http://dx.doi.org/10.1002/polb.1995.090330317
Polyarylates,Polyarylate BAP/ISO,,23,,2.58,0.54,13.1,0.59,,,,,,,,,,,Loria-Bastarrachea 2010,http://dx.doi.org/10.1021/ie100478v
Polyarylates,Polyarylate BAP50/ISO,,25.5,,2.84,0.56,16.3,0.65,,,,,,,,,,,Loria-Bastarrachea 2010,http://dx.doi.org/10.1021/ie100478v
Polyarylates,Polyarylate BF/ISO,,30.2,,3.92,0.64,20.1,0.71,,,,,,,,,,,Loria-Bastarrachea 2010,http://dx.doi.org/10.1021/ie100478v
Polycarbonates,TMPC,tetramethyl bisphenol-A polycarbonate,46,32,5.6,1.1,18.6,0.89,,,,,,,,,,,Hellums 1989,http://www.sciencedirect.com/science/article/pii/S0376738800811734
Polycarbonates,TCPC,tetrachloro bisphenol-A polycarbonate,27.4,,2.3,0.36,6.7,0.22,,,,,,,,,,,Muruganandam 1987,http://www.sciencedirect.com/science/article/pii/S0376738800800319
Polycarbonates,TBPC,tetrabromo bisphenol-A polycarbonate,18,43,1.5,0.2,4.2,0.12,,,,,,,,,,,Hellums 1991,http://dx.doi.org/10.1002/app.1991.070431103
Polycarbonates,HFPC,Hexafluoro bisphenol-A polycarbonate,60,27,6.9,1.7,24,1.05,,,,,,,,,,,Hellums 1989,http://www.sciencedirect.com/science/article/pii/S0376738800811734
Polycarbonates,TMHFPC,tetramethyl hexafluoro bisphenol-A polycarbonate,206,126,32,7.7,111,4.7,,,,,,,,,,,Hellums 1989,http://www.sciencedirect.com/science/article/pii/S0376738800811734
Polycarbonates,TBHFPC,tetrabromo hexafluoro bisphenol-A polycarbonate,100,10.6,9.7,1.8,32,0.89,,,,,,,,,,,Hellums 1991,http://dx.doi.org/10.1002/app.1991.070431103
